premise,hypothesis,edited_hypothesis,update,update_type,label,id,dataset
A woman wearing a straw hat is sitting among a variety of different foods while holding a drink.,A woman is enjoying a beer.,A woman is enjoying some water.,The drink comes in a big glass mug and has some foam on the top of the amber liquid.,strengthener,1,snli.1881,snli
A middle-aged man in a green jacket is talking to another middle-aged man in a light blue tee-shirt.,Two old friends catching up with each other.,Two men walk into a restaurant in the evening.,One man buys the other man lunch,strengthener,1,snli.643,snli
three dogs run through the grass.,"Three dogs run through the dead, brown grass.",Three dogs run through blooming flower beds.,the drought is bad this year,strengthener,1,snli.281,snli
There is a green trash truck in road with a person sweeping sidewalk.,The garbage man sweeps up where the can spilled.,A person walks out of an office carrying a briefcase and talking on the phone.,The person gets in the green trash truck after sweeping.,strengthener,1,snli.1179,snli
A woman wearing a black t-shirt and green capri pants walks in front of a giant clock.,It is noon.,A woman walks into a dentist's office.,There are people at a table eating in the background.,strengthener,1,snli.1767,snli
A surfer showing off his talent in public using a man-made water machine.,A surfer is in performing at a charity event.,A surfer is practicing on his private beach.,The surfer has a crowd of onlookers.,strengthener,1,snli.175,snli
3 people are shopping in a market.,The three people are shopping for a party they are going to throw.,The three people are mechanics.,The people are carrying auto repair parts.,weakener,0,snli.1442,snli
A cheerful boy rides a makeshift sled down a snowy hill.,A boy is enjoying himself while thinking about sliding down a snow hill with his friends,A boy is sliding down fresh snow in an empty park,The boy is alone on the hill.,weakener,0,snli.246,snli
A snowboarder is grinding down a long concrete rail.,A snowboarder is practicing a new trick.,A snowboarder practices standing upright on their snowboard with the rest of their elementary school class.,The snowboarder is a child.,weakener,0,snli.1182,snli
A surfer showing off his talent in public using a man-made water machine.,A surfer is in performing at a charity event.,A surfer is practicing on his private beach.,The surfer has no one watching them.,weakener,0,snli.174,snli
Construction workers are standing upon on a wooden bridge.,The men are nervous,The men are afraid of working on a wooden bridge 500 feet above the water.,The men shake as they look warily down at the bridge.,strengthener,1,snli.1813,snli
A surfer is performing a jumping stunt in the ocean.,A daring man in the surf.,An actor stands behind the camera while a daring man is in the surf.,The man is a stunt double.,weakener,0,snli.428,snli
A group of people sitting around a rectangular table having either pieces of paper or laptops in front of them.,they have a work meeting,A group of people sit on the beach at a resort.,The people have business clothes on.,strengthener,1,snli.437,snli
A man in a white t-shirt and jeans is holding a mallet and chisel next to his abstract sculpture which stands on several bricks.,A man is trying to finish his sculpture for a church,A man is trying to finish his sculpture of a model posing in front of him.,The sculpture is in the shape of a cross.,strengthener,1,snli.1139,snli
A man is working on a Earthen structure with a pickaxe.,A man is repairing a dam.,A man works directly under a stalagmite.,The man is underground.,weakener,0,snli.210,snli
A child making a sand castle on the beach.,A child uses their imagination.,A child does not know how to build anything beyond a sand castle.,The child has also made a princess out of shells and seaweed.,strengthener,1,snli.1169,snli
An older gentleman wearing a hat is walking on crutches next to a busy street.,A man on crutches is trying to cross the street.,A man on crutches walks in circles in an enclosed park.,The man is watching both ways of the street.,strengthener,1,snli.537,snli
The man is sweeping with a red broom.,The man is sweeping dirt,A man finished trimming a woman's hair.,The barber is sweeping the hair away from his chair.,weakener,0,snli.1630,snli
Colorful rings spraying water at little girl wearing swimsuit.,The child is at a waterpark.,The child is in her backyard.,Her mother is visible in the kitchen window.,weakener,0,snli.1644,snli
A dog is running parallel with the ocean waves.,A dog is running towards its owner.,A dog is right beside its owner.,A man whistles loudly.,strengthener,1,snli.717,snli
Colorful rings spraying water at little girl wearing swimsuit.,The child is at a waterpark.,A woman calls from the kitchen window to her child playing in water.,The girl is in her backyard playing in a sprinkler.,weakener,0,snli.1650,snli
Two men in orange uniforms stand before a train and do some work.,Tall humans working.,A supervisor from the county watches a group of men pick up garbage by train tracks.,The short men are on a chain gang performing manual labor as their sentence.,weakener,0,snli.260,snli
Two little white dogs running.,A few dogs are running to their owner.,A few dogs are running away from their owner.,A man is holding a bag of treats nearby.,strengthener,1,snli.461,snli
A man alone crosscountry skis in the wilderness while wearing a huge backpack.,A man skis in the wilderness while it's snowing,A man wades through melted snow while trying to ski.,The temperature is almost 50 degrees Hahrenheiht,weakener,0,snli.1860,snli
a man giving two thumbs up to a crowd.,He has just won the competition,A man in track shoes gets ready for a 100 meter race.,The man quickly joined the other runners at the starting line.,weakener,0,snli.66,snli
"A group of men are sitting and standing a courtyard, some of them are reading books and some are talking.",A group of males are outside reading and singing.,A group of men sit in a library reading silently.,Everyone joins in for the chorus.,strengthener,1,snli.1499,snli
a young couple both wearing white shirts and blue jeans standing in a light misty rain,A matching couple cools down in the rain.,A matching couple sits around a fire in December.,The Summer Rain felt cool after a long hot day.,strengthener,1,snli.517,snli
A boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,A boy dressed for summer in a tight green shirt and kahki shorts,A boy wearing a loose shirt at the zoo feels a gust of wind.,The shirt is flowing in the wind.,weakener,0,snli.604,snli
a soccer player wearing a red uniform walks off the field after a game near a parking lot.,A soccer player is walking to his car.,A driver in a parking lot waves a soccer player over after a game.,The visiting soccer player is headed toward the school bus.,weakener,0,snli.1694,snli
A middle-aged man in a green jacket is talking to another middle-aged man in a light blue tee-shirt.,Two old friends catching up with each other.,Two men are in the middle of an argument.,The two men seem to be laughing with each other.,strengthener,1,snli.647,snli
A young boy in green shorts balances on a pipe above a river.,A clever person balancing.,A person walks on a tight rope for the first time.,An audience watches in awe at how young the up and coming tight rope walker is.,strengthener,1,snli.21,snli
Two individuals use a photo kiosk,The people are together,A man enters a photo kiosk already at maximum capacity.,The man went into the wrong kiosk,weakener,0,snli.742,snli
A young couple and many others out enjoying themselves at an outdoor street event.,The young couple are looking at goods being sold by the street vendors.,A young couple are at an outdoor street event celebrating local produce.,The vendors have homemade jewelry on display that is very eye catching.,strengthener,1,snli.1143,snli
A youth skateboards by a mural of a griffin wielding a flaming sword.,A youth skateboards by a mural that has been vandalised.,A youth skateboards by a freshly painted mural on a new building.,The griffin is painted over something,strengthener,1,snli.33,snli
A young man in an orange hat walks his bicycle down a street.,A man broke his new bike.,A man found a bicycle at a yard sale.,The bicycle is rust,weakener,0,snli.1226,snli
"An oriental woman in glasses, shooting archery.",The woman is American.,The woman carries a passport from Japan.,The woman is a Japanese citizen.,weakener,0,snli.924,snli
"A team of men, three in red shirts and two others in baseball jerseys, re-surface a baseball diamond with specialized tools.",A grounds crew maintain a park.,A group of men prepare a baseball field for a large storm.,The men take a large tarp off of the infield.,strengthener,1,snli.1245,snli
A young boy in red leaping into sand at a playground.,A young boy jumps onto his friends sand castle at a playground.,A young boy jumps into a sandbox beside his friend building a sand castle.,"When the boy lands, a sand castle disintegrates underneath him.",strengthener,1,snli.799,snli
a man giving two thumbs up to a crowd.,He has just won the competition,A man drops out of a competition.,The man has a trophy by his feet.,strengthener,1,snli.65,snli
A cyclist dressed in black and white is pointing.,A cyclist dressed in black and white points towards the sky.,A cyclist dressed in black and white points towards the clear sky.,He feels a few raindrops hit his cheek.,strengthener,1,snli.187,snli
Dark-haired man wearing a watch and oven mitt about to cook some meat in the kitchen.,A man is going to surprise his wife with dinner.,A man makes dinner while his wife watches.,He checks the clock to see how much time he has before his wife comes home.,strengthener,1,snli.1775,snli
The girls walk down the street.,Girls were going to the park.,Girls carry textbooks in their hands.,The girls are wearing school uniforms.,weakener,0,snli.1054,snli
"An oriental woman in glasses, shooting archery.",The woman is American.,A woman without a passport.,The woman has never left Asia.,weakener,0,snli.926,snli
"Two college football players battle it out outdoors on the field during game day, where one is the quarterback trying to throw the ball, and the other player is in action about to sack the quarterback.",Two teams from rival colleges are in the fourth quarter of a game.,Two teams from rival colleges are in the second quarter of a game.,"The school band is on the sidelines, ready to enter the field.",weakener,0,snli.992,snli
Workers are scattered among the scaffolding on an older building.,Some window washers are preparing to start work.,Some workers are preparing to demolish a building.,The workers are wearing hardhats.,weakener,0,snli.554,snli
Woman running in a park while listening to music.,A woman exercising for the day.,A woman pants after running for 30 seconds.,The woman appears to be in very fit shape.,strengthener,1,snli.137,snli
a boy in a red hooded top is smiling whilst looking away from his reflection.,The boy doesn't want to see his reflection.,The boy wants to see his reflection.,"A woman's voice says to him 'Don't be afraid of it, it's harmless'",strengthener,1,snli.571,snli
In front is a guy singing and playing guitar and a white shirted drummer in the back.,Some people perform at a concert.,Some people perform at a hospital charity event for sick patients.,They are next to a bed,weakener,0,snli.1798,snli
Army men grilling a lot of meat while his troop looks on.,The men here will eat a lot of food soon.,The men grill meat to donate to a homeless shelter.,The men finish grilling and pile their plates high with food.,strengthener,1,snli.1893,snli
A young couple and many others out enjoying themselves at an outdoor street event.,The young couple are looking at goods being sold by the street vendors.,A young couple dances together while watching a band on stage.,The young couple is enjoying the live music on their first date together.,weakener,0,snli.1142,snli
"Two men cooking, one stirring a pot while making a funny face while the other points at him.",Friends are preparing a meal.,Two men cook together on a blind date.,A picture of the two men having fun is on the fridge behind them.,strengthener,1,snli.115,snli
The cyclist rides on a wooded path.,The cyclist rides alone on a wooded path,The cyclist wears a bib with a number on it.,The cyclist is participating in a race.,weakener,0,snli.404,snli
A young boy in green shorts balances on a pipe above a river.,A clever person balancing.,A boy gets stuck on a pipe above a river after being dared by his friend.,The boy is thinking to himself how stupid he was to get into this situation.,weakener,0,snli.20,snli
Three women talk to each other next to another woman sitting on a motorcycle.,A group of women went for a motorcycle ride.,A group of women are sitting in an empty garage.,Three other motorcycles are leaning against the garage.,strengthener,1,snli.85,snli
An older gentleman wearing a hat is walking on crutches next to a busy street.,A man on crutches is trying to cross the street.,A man on crutches faces away from a crosswalk.,The man's destination is on the other side of the road.,strengthener,1,snli.533,snli
A blue light rail tram goes down a busy street while pedestrians wait to cross.,A blue tram goes down the street while pedestrians sight-see.,A blue tram carries local residents down a busy street.,A blue tram moves down a street as pedestrians take photos of landmarks.,strengthener,1,snli.527,snli
Two men in orange uniforms stand before a train and do some work.,Tall humans working.,Two men use a tall ladder to reach a train.,The men are completely dwarfed by the train.,weakener,0,snli.256,snli
A girl in a blue dress takes off her shoes and eats blue cotton candy.,The girl is eating blue cotton candy at a carnival.,The girl watches a man steal second base.,The girl is eating blue cotton candy at Dodger stadium during a game.,weakener,0,snli.450,snli
Man jumping over a rusty fence on a blue bicycle.,Man jumping over the fence on his bicycle trying to escape from the dog.,Man is preparing for a competition.,The man has been practicing bike tricks for two weeks.,weakener,0,snli.506,snli
A young girl with water wings leaps into a crowded pool,The girl is jumping to her father in the pool.,A lifeguard watches a crowded pool while parents sit in a waiting room.,There are no adults in the pool.,weakener,0,snli.1014,snli
A man with a cigarette sits on the stoop.,An old man is smoking a cigar.,A man is deciding whether or not to smoke a cigarette.,The man holds the cigarette that is unlit.,weakener,0,snli.1730,snli
A woman is walking her dog and using her cellphone.,The woman is playing a game on her cellphone.,The woman hears a sound from her phone after sending a message a few minutes prior.,The woman is responding to a message she just received.,weakener,0,snli.1506,snli
A female within the foreground is heading towards a large white colored pillar that is apart of a large building with people are loitering or waiting on the steps of said building.,The woman has an important meeting today in the building.,The woman works as a janitor in the large building.,The woman is holding a briefcase,strengthener,1,snli.397,snli
Family gathered together in a house enjoying each other company.,A family is enjoying a night at home.,A family stays with new hosts in a foreign country.,There are pictures of the family in frames around the house.,strengthener,1,snli.827,snli
A man looks intent while sculpting a gargoyle.,The man is trying to add color to his sculpture.,A man is sculpting a gargoyle for a haunted house.,The man is carving a deeper frown for fright.,weakener,0,snli.1748,snli
A group of people are outside working.,Construction workers are building something.,A grounds crew maintains a cemetery.,There are lots of flowers in store packaging beside the people.,weakener,0,snli.814,snli
A surfer showing off his talent in public using a man-made water machine.,A surfer is in performing at a charity event.,A surfer records a television advertisement for a company.,He is doing his  duty for his sponsor.,weakener,0,snli.176,snli
A boy with no shirt is standing in water.,He is outside.,A boy with no shirt carries with a bar of soap.,The boy is taking a bath.,weakener,0,snli.94,snli
A man alone crosscountry skis in the wilderness while wearing a huge backpack.,A man skis in the wilderness while it's snowing,A man skis without goggles under clear skies.,A man skis through the snow after the snow has stopped falling.,weakener,0,snli.1854,snli
Workers are scattered among the scaffolding on an older building.,Some window washers are preparing to start work.,Workers prepare to demolish a building.,They are dressed in construction uniforms.,weakener,0,snli.556,snli
"A single man in a blue t-shirt, jeans, and a baseball cap works on a roof of a house laying shingles.",The single man was working on his house,The single man lays shingles on the roof of the house while the owner looks on.,The man works for a roofing company.,weakener,0,snli.1834,snli
lady in black skirt is getting excited.,A lady is excited after winning a contest.,A lady is excited after winning a painting contest.,The lady got notification that her essay was chosen as the best.,strengthener,1,snli.777,snli
A brown dog runs through a grassy field,A dog chases a rabbit.,An owner watches a dog from his kitchen window.,A dog is running in a backyard,weakener,0,snli.1288,snli
The child is hanging upside down with his legs over a pole.,The child is athletic.,The child is at a waterpark in a pool.,The child is wearing a sports jersey,strengthener,1,snli.1395,snli
A young girl in a riding outfit is sitting on a horse holding a teddy bear.,The girl is getting riding lessons.,A person holding a camera asks the girl to smile.,The girl is posing for a picture to send to her grandmother.,weakener,0,snli.832,snli
A group of people examine a boat with an orange flag that is sitting on sand next to a body of water.,People sit on a beach.,The group of people examine an empty beach.,There are beach chairs set up on the beach.,strengthener,1,snli.467,snli
a brown dog with a yellow toy in his mouth is jumping off the grassy ground,The dog is fetching his yellow toy.,A animal volunteer watches a dog fetch his yellow toy.,The dog is a stray,weakener,0,snli.1366,snli
A young male is running while playing tennis against another person.,A man moves while playing a game,A man wears a jersey from his middle school.,The male is 12 years old.,weakener,0,snli.4,snli
A cyclist dressed in black and white is pointing.,A cyclist dressed in black and white points towards the sky.,A cyclist dressed in black and white exercises in a gym.,There is a blimp flying over the cyclist's head.,strengthener,1,snli.185,snli
A large brown dog and a small black dog stand near each other on a dirt patch surrounding by grass and weeds.,A big brown dog and a tiny black dog are standing in an overgrown football field.,Two dogs play in their owner's backyard.,The two dogs are standing on the football field while their owner cuts the grass.,strengthener,1,snli.1255,snli
A person rolls down a hill riding a wagon as another watches.,A child in a wagon rolls down a hill.,A girl watches her brother in a wagon rolling down a hill.,The person watching is the childs mother who pushed them.,strengthener,1,snli.1293,snli
A young girl in a riding outfit is sitting on a horse holding a teddy bear.,The girl is getting riding lessons.,The girl practices alone for the Olympics.,The girl listens to an older lady talking to her.,strengthener,1,snli.839,snli
A girl in a blue dress takes off her shoes and eats blue cotton candy.,The girl is eating blue cotton candy at a carnival.,The girl is eating blue cotton candy at a baseball game.,The girl bought the cotton candy from someone dressed as a clown.,strengthener,1,snli.443,snli
"Three young men wearing backpacks, shorts, t-shirts, sandals and hats are standing together on a sandy surface with palm trees in the distance.",Three young people are putting on suntan location while standing on the beach together.,Three young people are drinking water.,They are rubbing something on their skin.,strengthener,1,snli.785,snli
People hurrying to get to work in a busy city.,People waiting at a bus stop.,People watch a maintenance crew in a tunnel repairing a train.,People wait underground at a subway station.,weakener,0,snli.640,snli
A group is walking between two giant rock formations.,A group is hiking.,A group visits an art exhibit in a city.,The group walks between giant rocks that have been placed in a downtown area.,weakener,0,snli.1040,snli
A girl in a blue dress takes off her shoes and eats blue cotton candy.,The girl is eating blue cotton candy at a carnival.,The girl eats the blue cotton candy she learned to make.,The woman is a confectionary student.,weakener,0,snli.444,snli
"A music concerto is happening on stage, with the lights on spot, while the audience listens in the dark.",The concert is being held at night.,The concert is being held during the day inside an opera house.,The audience is holding up lighters.,strengthener,1,snli.1065,snli
A group of people are walking by a van.,Some people outdoors.,A group of people are walking by a van in a military complex.,the van is parked inside a massive hangar,weakener,0,snli.710,snli
A woman carrying a large package on her head walks in front of a building plastered with Portuguese posters advertising a concert.,A woman walks outdoors.,A woman walks indoors.,A woman continues carrying large package along buildings which has top priority.,strengthener,1,snli.1087,snli
A woman wearing a black t-shirt and green capri pants walks in front of a giant clock.,It is noon.,A woman walks to her car during rush hour.,She's coming home from work.,weakener,0,snli.1768,snli
A boy in the woods.,There is a boy headed to the woods.,There is a boy headed to the woods from his home.,"He crosses his yard, then, the meadow.",weakener,0,snli.1936,snli
Young person in black next to an older person in black and white polka dot.,A young person is standing next to a relative.,A young person is standing next to a friend of his parents.,The young person looks like the older person.,strengthener,1,snli.1131,snli
The cyclist rides on a wooded path.,The cyclist rides alone on a wooded path,The cyclist rides with several others on a wooded path.,The cyclist is part of a cycling club,weakener,0,snli.406,snli
pedestrian walking on the street,A person crossing a busy street intersection.,A person crossing a street at sunrise.,"There are no cars on the streets this time of day, so it's safe for pedestrians.",weakener,0,snli.124,snli
A brown dog runs through a grassy field,A dog chases a rabbit.,An owner throws a ball for his dog.,There is a ball bouncing away from the dog.,weakener,0,snli.1282,snli
A large brown dog and a small black dog stand near each other on a dirt patch surrounding by grass and weeds.,A big brown dog and a tiny black dog are standing in an overgrown football field.,A big brown dog and a tiny black dog are standing in an overgrown hockey field.,There is a set of footballs on the field.,strengthener,1,snli.1253,snli
four people standing on a hiking trail in a forest with big tree logs on the ground close to them.,Tall humans standing,Four people are at a charity event for their hockey team.,A van sits beside them with a sign that reads 'Basketball Team',strengthener,1,snli.613,snli
A couple of newlyweds kissing underneath the bride's veil.,The newlyweds are kissing in a church during the wedding.,The newlyweds had an outdoor wedding.,There are trees in the background.,weakener,0,snli.1660,snli
Workers wearing orange vests work on fence.,Men working to build a fence for customers.,Homeowners put up a fence in their neighborhood.,The men work for a construction company.,strengthener,1,snli.867,snli
People hurrying to get to work in a busy city.,People waiting at a bus stop.,People wait for their train in a tunnel.,The people are sitting on a bench under a shelter on the sidewalk.,strengthener,1,snli.637,snli
Some elderly people are playing instruments in a park.,The old man is playing the guitar.,The old man is playing a large brass instrument.,The old man plays a shiny trombone.,weakener,0,snli.1688,snli
Two NHL hockey players prepare to fight over a puck during a face off.,The players start a fight to continue a previous disagreement.,Spectators of a hockey game arrive at their seats.,The game is about to start.,weakener,0,snli.1802,snli
Three men dancing as a group of people watch.,three men are a dancer,A group of dancers are in rehearsals.,The men are on a stage in front of an audience,strengthener,1,snli.71,snli
A group of people examine a boat with an orange flag that is sitting on sand next to a body of water.,People sit on a beach.,A beach is closed to the public.,"There is a sign behind the people saying ""no sitting on the beach"".",weakener,0,snli.464,snli
A man in dark clothing walking in a transit station.,A criminal working his way through the transit station,A man works as a janitor in the transit station.,"The man's clothing says ""Staff""",weakener,0,snli.1462,snli
A young woman in white working in a professional kitchen.,The young woman makes a meal.,The young woman is a janitor at a fancy restaurant.,The woman is pushing a cart with cleaning supplies on it.,weakener,0,snli.890,snli
A guy riding a motorcycle near junk cars,The man is test driving a motorcycle to decide whether or not he will buy it.,The man rides his new motorcycle.,The motorcycle has a custom license plate on it.,weakener,0,snli.144,snli
A young man throws a Frisbee to a frisbee-golf goal.,A man playing in a tournament.,A man practices alone in a golf course.,The course is almost barren.,weakener,0,snli.1548,snli
"A blond woman with a tattoo of on an angel on her arm walking down the street, a concrete wall in the background.",A person with a great tatto,A woman walks into a tattoo removal center because she got a bad tattoo.,The woman got the tattoo at a world renowned tattoo parlor.,strengthener,1,snli.1639,snli
There is a green trash truck in road with a person sweeping sidewalk.,The garbage man sweeps up where the can spilled.,A person is sweeping up fallen leaves.,A bag is laying open on the ground,strengthener,1,snli.1173,snli
Two friends having a laugh.,Two friends are laughing at people on the street.,Two friends walk down an empty street.,The two friends are staring at many people on the street.,strengthener,1,snli.41,snli
A girl in a blue dress takes off her shoes and eats blue cotton candy.,The girl is eating blue cotton candy at a carnival.,A girl gets ready to sit on a carnival ride which requires shoes to be worn.,The girl noticed several other carnival attendees without shoes on.,strengthener,1,snli.451,snli
Workers are scattered among the scaffolding on an older building.,Some window washers are preparing to start work.,Some window washers watch the sun set behind the scaffolding of an older building.,The work day is almost over.,weakener,0,snli.552,snli
A boy with no shirt is standing in water.,He is outside.,A boy's mother pulls out a bar of soap from a cabinet in the bathroom as she prepares to bathe her son.,The boy is in a bathtub in front of a wall.,weakener,0,snli.90,snli
A young boy in red leaping into sand at a playground.,A young boy jumps onto his friends sand castle at a playground.,A young boy enters a freshly raked sand box.,The sand near the boys is flat.,weakener,0,snli.794,snli
A girl jumps in the air.,A jump roping girl.,A girl uses a simple piece of twine without LEDs to jump rope.,The handles light up.,strengthener,1,snli.1357,snli
"A music concerto is happening on stage, with the lights on spot, while the audience listens in the dark.",The concert is being held at night.,The concert is being held during the day.,Blackout curtains cover the windows.,weakener,0,snli.1066,snli
"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole.",people celebrate st paddys day,People consume brown liquid with foam on top.,The people are drinking green beer.,strengthener,1,snli.907,snli
A group of people sitting around a rectangular table having either pieces of paper or laptops in front of them.,they have a work meeting,A group of people are wearing school uniforms.,The people are wearing work ID tags.,strengthener,1,snli.433,snli
A blond boy stands among people in a shady setting with a large snake wrapped around his chest.,A male performer is showcasting his snake for tips.,A male performer warns a group of people that his snake bites.,The people are touching the mans snake.,strengthener,1,snli.1051,snli
Two young ladies walking down the street together.,"The two woman are sisters, and are on their way to their mutual friends house down the street.",The two woman do not share any genes.,The two women are sisters of a third woman.,strengthener,1,snli.1213,snli
"two girls looking out the window at ""Hair at Hart.""",Two kids wait for their mom to finish her hair appointment.,Two carefree girls play games with each other.,They keep checking the time like they are waiting for someone.,strengthener,1,snli.1919,snli
"A boy making an ""oh!"" face in front of a bay.",A child is surprised by the ships.,A child points to a gray animal in front of a bay.,A seal just jumped of the water.,weakener,0,snli.1022,snli
Pedestrians use the crosswalks as traffic awaits their turn to drive through an intersection.,Traffic is stopped at a red light.,A crosswalk sign is broken.,The crosswalk sign is showing numbers counting down.,strengthener,1,snli.1681,snli
Dark-haired man wearing a watch and oven mitt about to cook some meat in the kitchen.,A man is going to surprise his wife with dinner.,A man is making a meal for only himself.,The man is cooking two steaks with potatoes and vegetables and two chocolate lava cakes.,strengthener,1,snli.1781,snli
A man wearing a brightly green camouflage patterned denim jacket and boots walks by a building labeled Lottery Ticket Centre.,A man just purchased some lottery tickets.,A man recently lost his job.,He has no extra money and keeps walking.,weakener,0,snli.1958,snli
Spectators look on as a baseball player runs onto a base while the baseman waits to make the catch.,the player may get thrown out,The baseman waiting to make the catch injured his arm earlier in the baseball game.,The catcher has great arm strength.,strengthener,1,snli.1787,snli
"Two women are reading, one woman has a magazine with a Dior ad on the back of it, while the other woman is reading fro ma hard cover book.",Two women are in the library reading.,Two women are at the beach reading.,A shelf of books stands behind them.,strengthener,1,snli.1403,snli
"A boy wearing jeans, standing on rocks in a river and throwing a stone.",A boy with no shirt on throws rocks.,A boy is crying after aiming his rock at a bird.,The boy feels bad after hitting a bird.,weakener,0,snli.1580,snli
Workers wearing orange vests work on fence.,Men working to build a fence for customers.,Homeowners are building a makeshift fence themselves from materials they found in their homes.,The men have fencing equipment in a truck nearby.,strengthener,1,snli.871,snli
Dark-haired man wearing a watch and oven mitt about to cook some meat in the kitchen.,A man is going to surprise his wife with dinner.,A man is going to surprise his girlfriend with dinner.,It is his wedding anniversary.,strengthener,1,snli.1779,snli
pedestrian walking on the street,A person crossing a busy street intersection.,A person walks on a street in a pedestrian-only zone.,The street is empty of vehicles.,weakener,0,snli.126,snli
A group is walking between two giant rock formations.,A group is hiking.,A group walks to rock formations on flat ground.,The rock formations are in an open field.,weakener,0,snli.1034,snli
"Three women sit at a table, taking notes from three identical magazines.",Three college women are studing.,Three women are looking at a page in a magazine with a large white dress.,The magazines are about planning a wedding.,weakener,0,snli.270,snli
A child in a ninja outfit does a jumping kick.,a child in a black ninja suit does a kick,A child is wearing a bright neon yellow outfit.,"A woman comments 'Wow, you look sleek and I wouldn't even see you in the dark!'",strengthener,1,snli.1599,snli
Hikers walk along some tough terrain.,Hikers make their way along tough terrain to get to the scene of the fall.,Hikers pass a sign that says 'No Photography'.,The hikers are carrying cameras,strengthener,1,snli.1951,snli
three dogs run through the grass.,"Three dogs run through the dead, brown grass.",Three dogs run through green luscious grass.,The grass hasn't grown for weeks.,strengthener,1,snli.273,snli
"A boy making an ""oh!"" face in front of a bay.",A child is surprised by the ships.,A boy sits in front of a small port only able to fit a canoe.,Many large ships pass by with horns sounding.,strengthener,1,snli.1029,snli
a soccer player wearing a red uniform walks off the field after a game near a parking lot.,A soccer player is walking to his car.,A soccer player is holding a shiny golden trophy.,They are on the winning team.,weakener,0,snli.1696,snli
A woman is walking her dog along a snowy ground.,A woman is trying to get her dog to go to the bathroom after it has freshly snowed.,Snow has not been in the forecast for days.,The snow is full of dirty footprints.,weakener,0,snli.340,snli
Man jumping over a rusty fence on a blue bicycle.,Man jumping over the fence on his bicycle trying to escape from the dog.,A man jumps over the fence on his bicycle trying to escape from a cat.,The man hears loud barking behind him.,strengthener,1,snli.509,snli
"Two college football players battle it out outdoors on the field during game day, where one is the quarterback trying to throw the ball, and the other player is in action about to sack the quarterback.",Two teams from rival colleges are in the fourth quarter of a game.,Both coach and quarterback from each team clear other players from the field to argue.,There are only four people on the field.,weakener,0,snli.998,snli
A couple of newlyweds kissing underneath the bride's veil.,The newlyweds are kissing in a church during the wedding.,The newlyweds planned a secular wedding on the beach.,The newlyweds kiss in front of a pulpit as the minister looks on.,strengthener,1,snli.1657,snli
A young man in an orange hat walks his bicycle down a street.,A man broke his new bike.,A man just bought a brand new bike.,The man looks happy,weakener,0,snli.1222,snli
An medical worker examines a young girl.,A health worker is evaluating a girl on her sickness.,A couple attends a Halloween party together.,Someone in a Halloween costume pays attention to a girl.,weakener,0,snli.668,snli
Three men are working with their bikes in the shoulder of a road.,The men are talking to each other on the side of the rode about their wives.,The men are talking to each other on the side of the rode about their girlfriends.,Each of the men is wearing a wedding band.,strengthener,1,snli.1203,snli
A female within the foreground is heading towards a large white colored pillar that is apart of a large building with people are loitering or waiting on the steps of said building.,The woman has an important meeting today in the building.,The woman is carrying a mop and bucket on her way to her job at the building.,The woman is a judge with an appointment with a prosecutor and defendant's lawyer.,strengthener,1,snli.395,snli
